FTTB events 2026-07-30T09:00:00 -> 2026-08-06T09:00:00
Total: 241

      id                start_time                  end_time                                                                                                                                                                                                                                                                                                                                                                                                                                                           resource
A1050797 2026-08-05 21:41:00+03:00 2026-08-05 21:45:00+03:00                                                                                                                              FTTB_pe05.KK12.Moscow_Bundle-Ether97.4(2), FTTB_pe02.Kostroma_Bundle-Ether8402.4(2), FTTB_pe01.Kostroma_Bundle-Ether8402.4(2), FTTB_pe02.Tyumen_Bundle-Ether20(2), FTTB_pe02.Togliatti_Bundle-Ether301.24(2), FTTB_pe02.Smolensk_Bundle-Ether8402.4(2), FTTB_pe01.Togliatti_Bundle-Ether300.23(2), FTTB_pe01.Tyumen_Bundle-Ether20(2)
A1047610 2026-08-03 08:50:00+03:00 2026-08-03 08:55:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047609 2026-08-03 08:50:00+03:00 2026-08-03 08:55:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047598 2026-08-03 08:37:00+03:00 2026-08-03 08:49:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047597 2026-08-03 08:37:00+03:00 2026-08-03 08:49:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047575 2026-08-03 07:52:00+03:00 2026-08-03 08:24:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047574 2026-08-03 07:52:00+03:00 2026-08-03 08:24:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047560 2026-08-03 07:36:00+03:00 2026-08-03 07:50:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047559 2026-08-03 07:36:00+03:00 2026-08-03 07:50:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047553 2026-08-03 07:26:00+03:00 2026-08-03 07:35:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047552 2026-08-03 07:26:00+03:00 2026-08-03 07:35:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
